Vietos pav.	Unikalus identifikatorius	X	Y
Parnidžio ragas	2756927300	309529,3613	6132361,992
Paukščių stebėjimo taškas	4285830489	316636,6551	6146282,015
Paukščių stebėjimo vieta	5179618538	499431,3658	6056813,933
Pervalkos ragas	5028700205	315994,4731	6144636,439
Petro Skargos kiemas	3651935478	583041,0569	6061442,514
Pilkieji garniai ir kormoranai	475255988	317630,8205	6157537,817
Pilsupių atodanga	3990113032	480668,1025	6130532,371
Platelių ežero apžvalgos aikštelė	1930144634	364703,3015	6214675,603
Plikakalnio atodanga	3884679871	578911,4588	6061601,055
Plocio ežero paukščių stebėjimo namelis	475305601	316419,0776	6192823,096
Plungės Lurdas	2435263457	364091,6923	6199915,473
Polderio bokštelis	4485539290	325795,2339	6140412,611
Poteronių piliakalnis	1688321196	509682,8662	6024640,592
Pramoninė panorama	4166852260	578442,9785	6058191,133
Prelomčiškės piliakalnis	1746798593	477559,7107	6019550,462
Prisikėlimo bažnyčios apžvalgos aikštelė	4571659367	494686,1703	6085187,189
Pūčkorių atodanga	738082549	587214,2219	6062590,722
Punios piliakalnio viršutinė aikštelė	6075811579	505932,2536	6041740,103
Pustlaukio duobės regykla	3680502700	435530,375	6186345,56
Pušų alėja	4851615022	657877,3998	6148184,924
Puvočių (Omnitel) apžvalgos bokštas	1309813996	520225,5868	5997466,861
Rambynas	280777081	373658,0203	6107561,411
Raudonės pilies bokštas	2501859774	444489,889	6107094,499
Raudonpamūšio atodanga	5179618537	505192,823	6215244,846
Raudonskardžio atodanga	5216114518	426333,3434	6224032,687
Regykla ant įspūdingo aukščio šlaito	2059656225	563812,2027	6068998,937
Regykla „Trys ežerai“	5028701034	421208,886	6030802,653
Regykla „Voras“	5028701033	452176,8349	6247022,318
Rimo kalnelis	5028701026	439602,2958	6187139,611
Riverfront terasa	3169074463	581219,4816	6062798,739
Rokantiškių piliavietės regykla	3774775516	589702,6642	6062405,797
Rokantiškių regykla	3068159618	587272,6004	6063961,724
Rubikių apžvalgos bokštas	831207869	580133,4119	6150582,283
Rumšiškių apžvalgos bokštas	1314231552	512419,3487	6080373,224
Rusnės apžvalgos bokštas	474708837	327432,4897	6135700,906
Rusnės regykla	3010827377	328405,7935	6133575,505
Šakiškių skardis	1718008073	588486,5763	6078714,364
Salako paukščių stebėjimo bokštelis	4996536359	635669,7471	6162504,82
Salantų parkas	2993013534	348505,9951	6216537,778
Sartų apžvalgos bokštas	5910951648	615149,0951	6191148,021
Šatrijos kalnas	1685048533	409762,8671	6194083,808
Saulės mūšio vieta	1993447244	469823,1824	6220201,255
Saules puķe	4361505839	662400,7889	6174228,883
Seredžiaus apžvalgos bokštelis	3089770393	462687,1907	6105153,691
Seredžiaus piliakalnis I	1688075575	462111,8219	6105106,447
Šereiklaukio miško apžvalgos bokštas	5028701025	377790,528	6103470,194
Šereitlaukio apžvalgos bokštas	4968605721	380156,5293	6102904,628
Šiaulės apylinkių apžvalgos bokštas	4055210014	463439,7404	6168013,127
Siberijos (Cidabro kalno) apžvalgos bokštas	2638244459	363784,719	6212867,955
Šiliniškių (Bitės) apžvalgos bokštas	437564602	625113,2549	6140209,837
Siponių atodanga	5178044390	499691,4381	6041669,8
Sirvėtos apžvalgos bokštas	2659499587	638939,6273	6123679,3
Skardis ir Vištyčio vaizdas	5028701024	419527,4464	6030645,798
Skaudvilės atodanga	4964546626	411340,763	6143343,717
Škėvonių atodanga	2496012802	500162,5875	6052031,915
Škėvonių atodanga	4964629667	500554,8046	6051943,345
Sky21 apžvalgos aikštelė	4320515370	319643,9964	6178858,213
Snow Arena	4353564489	497360,0918	5988161,514
Spaustuvės kiemas	3651935479	582986,0454	6061380,467
Stalo kalno regykla	2590491615	583851,919	6061977,656
Staškinės ežero regykla	5028701031	649882,0654	6120815,429
Stirniškių atodanga	2928063927	552341,177	6183471,122
Subačiaus g. apžvalgos aikštelė	477399208	583855,9098	6060899,946
Sveikatos tako apžvalgos aikštelė	5178044407	505182,016	6028400,341
Švenčionių apžvalgos bokštas	1309957971	640824,9944	6116666,558
Svilės kryžių kryžkelė	2103856550	434480,4271	6189369,667
Sviliškių kraštovaizdžio draustinio regykla	2108908928	567026,8543	6067002,111
Svirkančių atodanga	4964546709	408669,0762	6228398,529
Šv. Jonų bažnyčios varpinė	2471812239	583064,3576	6061419,519
Šv. Jurgio bažnyčios apžvalgos aikštelė	6792766086	473365,7148	6100556,856
Tabokinės atodanga	4953135081	551425,6752	6253306,892
Tauro kalno panorama	4340144872	581829,4488	6061773,724
Terasa	2022625859	582111,5978	6062865,847
Trakų m. apžvalgos aikštelė	726034642	560096,1675	6059997,07
Trakų pilies panorama	1131223985	560095,3404	6057412,68
Trijų kryžių apžvalgos aikštelė	308878465	583656,037	6061919,672
Tuputiškių serpantinas	2475356686	587534,6417	6060535,306
TV bokštas	4515277514	578321,0753	6061868,335
Tytuvėnų (Kokmaniškės / Majako kln.) apžvalgos bokštas	3372998255	452091,7985	6161940,734
Ūlos skardžių regykla	2710734036	528819,1383	6000794,901
Upės slenkstis	2626352567	592218,115	6050076,653
Urbo kalnas	5834155488	309081,4929	6133934,491
Vaikeso ež. salos piliakalnis	866097561	614329,8456	6155810,839
Vaizdas aplink Papėčių piliakalnį	2579910797	486856,6359	6019843,398
Vaizdas į Ančios ežerą	4348203490	480636,4233	5994613,724
Vaizdas į Anykščius	2972634548	568944,1058	6154820,421
Vaizdas į Aukštumalos pelkę	5735780281	332766,4584	6143241,57
Vaizdas į Baltijos jūrą	5689446695	316868,1638	6184239,985
Vaizdas į Čepkelių raistą	2645268792	528438,6127	5986842,716
Vaizdas į Galvės ežerą	1238977771	559978,347	6059382,725
Vaizdas į Galvės ežerą iš Užutrakio dvaro	2665518099	560858,4461	6058525,375
Vaizdas į Jūros upės slėnį	5551814772	390873,2281	6124934,323
Vaizdas į Kauną iš Milikonių	1260064245	493210,3088	6087328,828
Vaizdas į Kauno marias	2712793129	501533,7865	6082969,719
Vaizdas į Kauno marias	5740561866	512680,2647	6080489,971
Vaizdas į Kauno marias	718512601	503056,9611	6084788,114
Vaizdas į Kauno marias nuo Pažaislio	2712793134	501595,3419	6081958,588
Vaizdas į Kuršių marias	6644356767	318478,5874	6162020,224
Vaizdas į Merkį	1659291458	547629,5086	6019761,923
Vaizdas į miškus	2626282736	586188,019	6058866,692
Vaizdas į Nemuną	1907459503	483209,6896	6088467,297
Vaizdas į Nemuną	1907459532	483133,8627	6088500,95
Vaizdas į Nerį	6403605800	518653,5592	6104396,897
Vaizdas į Parnidžio kopą	5839452986	309075,1832	6133107,828
Vaizdas į Pažaislio vienuolyną	3027164894	502459,6701	6079879,549
Vaizdas į pelkę	2473433289	519512,6453	5987765,539
Vaizdas į Piktežerį	5732083281	365180,0945	6216112,219
Vaizdas į Piliškių ežerą	2513516321	563187,8922	6056493,83
Vaizdas į Platelių ežerą	5732083226	365383,8599	6215482,005
Vaizdas į Prezidentūrą	1277407583	582893,7293	6061411,471
Vaizdas į Senvagės ežerą	3205944559	522701,2721	6177402,893
Vaizdas į Vecekrugo kalną	5776808483	312668,0237	6139527,065
Vaizdas į Virvyčios upę	3498985419	410541,8857	6231801,048
Vaizdas nuo pilkapyno	3949668360	589005,2173	6063263,847
Variaus atodanga	1796291688	570024,1445	6160851,747
Vecekrugo apžvalgos bokštelis	5793598068	312214,5897	6139473,003
Vecekrugo kalnas	2111293780	312297,0377	6139470,286
Veisiejų apžvalgos bokštas	2659362312	481824,4682	5996032,54
Velniakampio atodanga	4558151069	562887,1502	6074322,512
Ventės rago švyturys	976164581	321758,0129	6137555,244
Ventos ir Virvytės santakos apžvalgos bokštas	1316303149	410158,1547	6233919,216
Verkių dvaro parko apžvalgos aikštelė	5028214986	583207,9175	6068616,244
Verkšionių regykla	4964629666	559127,3707	6075845,715
Vetygalos atodanga	429331341	563386,7857	6147080,36
Vilkakalnio apžvalgos bokštas	1314771408	638178,9887	6135435,241
Vilkyškių apžvalgos bokštas	3448572815	380088,8136	6110624,312
Vilniaus panorama	2303146285	579212,8714	6062296,154
Vilniaus senamiesčio vaizdas	1731566102	582192,8012	6060970,11
Vitkų šeimos koplyčia	3603784446	594332,4271	6125056,979
Vosbučių atodanga	5177967378	477696,6283	6136037,43
Vosgėlių piliakalnis	866079049	596002,7077	6147897,163
Vyžuonos parko apžvalgos aikštelė	5838804285	600551,1217	6153692,194
Žaibiškių II piliakalnis	866133511	603739,223	6173611,284
Žaliųjų regykla	2484428163	586079,8477	6073220,628
Žąsūgalos kalnas	5028701023	399718,2958	6192299,818
Žiegždrių atodanga	833247708	504114,2924	6083113,948
Žiegždrių atodanga II	2803225205	503964,4237	6083023,26
Žirgų ragas	5028700609	317107,5138	6146625,042
Žuvinto rezervato apžvalgos bokštas	2595529674	476320,8324	6035656,832
Žvainių Gaidžio koplyčia	2349902660	347941,8813	6215671,558
Žvilgsnis į Romintą	3491133889	420284,2032	6029549,432
